invoice_id,vendor,category,invoice_date,due_date,payment_terms,amount,tax_amount,label
INV-00611,Horizon Software Inc,Office Supplies,2025-12-07,2026-01-06,Net 15,1092.2,131.06,Valid
INV-00800,Crestline IT Services,Logistics,2025-11-07,2025-11-22,Net 45,891.31,44.57,Valid
INV-00431,Apex Office Supplies,Software License,2026-05-10,2026-05-25,Net 15,2466.06,295.93,Valid
INV-00919,Junction Marketing Group,Facilities,2025-11-21,2026-01-05,Net 30,2577.46,463.94,Valid
INV-00030,Bluewave Logistics,Consulting,2025-02-02,2025-03-19,Net 45,6659.05,171.02,Amount Anomaly
INV-00240,Delta Print Solutions,Consulting,2025-12-16,2026-02-14,Net 30,5.0,20.97,Amount Anomaly
INV-00818,Ironclad Security,Security,2026-06-18,2026-07-03,Net 45,1510.28,181.23,Valid
INV-00238,Ironclad Security,IT Services,2026-01-21,2026-03-07,Net 60,,117.58,Missing Info
INV-00066,Falcon Freight Co,Consulting,2026-03-23,2026-04-07,Net 45,4534.03,104.5,Amount Anomaly
INV-00951,Delta Print Solutions,Marketing,2025-08-18,2025-09-17,Net 45,283.62,51.05,Valid
INV-01465,Horizon Software Inc,Security,2026-05-13,2026-07-11,Net 30,1335.57,66.78,Duplicate
INV-00712,Junction Marketing Group,Marketing,2025-08-06,2025-08-21,Net 60,2549.37,458.89,Valid
INV-00632,Everline Facilities,Marketing,2025-08-25,2025-10-24,Net 60,3172.68,380.72,Valid
INV-01138,Apex Office Supplies,Security,2025-04-12,2025-04-27,Net 15,1172.61,58.63,Valid
INV-00480,Bluewave Logistics,Facilities,2026-01-29,2026-03-15,Net 30,1142.94,488.84,Amount Anomaly
INV-01076,Everline Facilities,Security,2025-06-25,2025-08-09,Net 45,3182.85,159.14,Valid
INV-01167,Everline Facilities,Consulting,2025-10-21,2025-11-20,Net 60,3752.01,450.24,Valid
INV-00968,Greenfield Consulting,Software License,2026-02-08,2026-03-25,Net 60,5824.46,762.14,Amount Anomaly
INV-01194,Horizon Software Inc,Logistics,2025-07-23,2025-09-06,Net 15,,309.2,Missing Info
INV-00549,Junction Marketing Group,Facilities,2025-04-17,2025-06-16,Net 15,2808.75,140.44,Valid
INV-00124,Junction Marketing Group,Consulting,2025-03-03,2025-03-18,Net 45,2069.74,103.49,Valid
INV-00323,Ironclad Security,Logistics,2026-04-28,2026-05-13,Net 30,2062.07,371.17,Valid
INV-01047,Everline Facilities,Office Supplies,2025-07-27,2025-09-10,Net 15,3889.28,194.46,Valid
INV-00176,Delta Print Solutions,Facilities,2026-04-28,2026-05-13,Net 30,1366.27,245.93,Valid
INV-00715,Delta Print Solutions,Logistics,2025-06-19,2025-07-19,Net 30,,107.97,Missing Info
INV-00763,Greenfield Consulting,Logistics,2025-12-17,2026-01-01,Net 60,4227.48,760.95,Valid
INV-00652,Falcon Freight Co,Facilities,2025-02-25,2025-03-27,Net 60,1764.15,211.7,Valid
INV-01215,Crestline IT Services,Consulting,2025-05-07,2025-06-21,Net 45,1085.46,54.27,Valid
INV-00045,Delta Print Solutions,Software License,2025-11-18,2025-12-18,Net 30,5.0,50.75,Amount Anomaly
INV-00060,Delta Print Solutions,IT Services,2025-10-01,2025-10-31,Net 60,1341.91,241.54,Valid
INV-00241,Crestline IT Services,Office Supplies,2025-03-21,2025-05-05,Net 45,1467.12,73.36,Valid
INV-00024,Everline Facilities,IT Services,2025-09-03,2025-09-18,Net 15,3322.28,166.11,Valid
INV-00606,Greenfield Consulting,Marketing,2025-12-06,2026-01-20,Net 60,4363.22,523.59,Valid
INV-00433,Delta Print Solutions,Security,2026-06-18,2026-08-17,Net 15,398.42,47.81,Valid
INV-01266,Bluewave Logistics,Logistics,2025-06-07,2025-07-22,Net 15,3714.83,445.78,Valid
INV-00745,Greenfield Consulting,Consulting,2025-05-22,2025-06-06,Net 60,4102.87,738.52,Valid
INV-00507,Delta Print Solutions,Software License,2025-09-09,2025-10-09,Net 15,5396.6,14.67,Amount Anomaly
INV-00125,Bluewave Logistics,IT Services,2025-06-10,2025-07-10,Net 30,3912.04,195.6,Valid
INV-00343,Greenfield Consulting,Security,2025-04-08,2025-05-08,Net 45,4326.23,216.31,Valid
INV-00797,Ironclad Security,Logistics,2026-04-01,2026-05-01,Net 60,2545.31,458.16,Valid
INV-01218,Bluewave Logistics,IT Services,2025-12-03,2025-12-18,Net 60,5133.0,615.96,Valid
INV-00116,Delta Print Solutions,Office Supplies,2026-01-05,2026-02-04,Net 30,5803.09,97.18,Amount Anomaly
INV-01088,Everline Facilities,Security,2025-07-20,2025-08-04,Net 15,7436.18,156.09,Amount Anomaly
INV-00695,Ironclad Security,Marketing,2025-04-19,2025-06-03,Net 15,1967.7,354.19,Valid
INV-00304,Crestline IT Services,Marketing,2026-05-26,2026-07-25,Net 60,,140.98,Missing Info
INV-00702,Junction Marketing Group,IT Services,2025-02-25,2025-04-26,Net 45,2489.42,448.1,Valid
INV-00627,Bluewave Logistics,Consulting,2025-04-19,2025-06-18,Net 45,6657.4,182.96,Amount Anomaly
INV-00142,Horizon Software Inc,Consulting,2026-05-12,2026-05-27,Net 30,1426.43,71.32,Valid
INV-00995,Junction Marketing Group,Marketing,2025-10-07,2025-11-21,Net 15,2844.06,341.29,Valid
INV-00766,Delta Print Solutions,Facilities,2025-08-23,2025-09-22,Net 30,10.0,0.5,Valid
INV-00673,Apex Office Supplies,Security,2025-09-15,2025-10-15,Net 30,2729.67,491.34,Valid
INV-00844,Ironclad Security,Facilities,2026-03-30,2026-05-14,Net 45,2164.88,259.79,Valid
INV-00298,Apex Office Supplies,Security,2025-06-11,2025-08-10,Net 60,2808.17,336.98,Valid
INV-00232,Apex Office Supplies,IT Services,2026-04-07,2026-04-22,Net 30,1685.31,202.24,Valid
INV-00079,Ironclad Security,Logistics,2025-09-13,2025-09-28,Net 60,4932.89,202.3,Amount Anomaly
INV-00530,Greenfield Consulting,Marketing,2026-05-06,2026-05-21,Net 60,4047.85,202.39,Valid
INV-01042,Greenfield Consulting,IT Services,2025-07-23,2025-09-06,Net 45,2401.25,226.88,Amount Anomaly
INV-00571,Apex Office Supplies,Security,2026-05-30,2026-06-29,Net 30,1833.79,91.69,Valid
INV-00016,Junction Marketing Group,Consulting,2026-03-15,,Net 30,3006.59,360.79,Missing Info
INV-00959,Crestline IT Services,Security,2025-03-21,2025-05-20,Net 45,3080.93,55.44,Amount Anomaly
INV-00600,Junction Marketing Group,Logistics,2026-02-18,2026-04-04,Net 15,2483.02,446.94,Valid
INV-01189,Everline Facilities,Logistics,2025-11-18,2025-12-03,Net 30,3234.12,161.71,Valid
INV-00260,Bluewave Logistics,Security,2026-06-23,2026-07-08,Net 15,5.0,484.06,Amount Anomaly
INV-00382,Greenfield Consulting,Logistics,2025-02-16,2025-03-18,Net 15,4582.62,824.87,Valid
INV-00271,Greenfield Consulting,IT Services,2025-07-04,2025-08-18,Net 15,4208.25,504.99,Valid
INV-01431,Greenfield Consulting,Logistics,2025-10-26,2025-12-20,Net 30,4117.68,741.18,Duplicate
INV-00916,Horizon Software Inc,Marketing,2025-05-18,2025-06-02,Net 45,1747.84,314.61,Valid
INV-00169,Everline Facilities,Facilities,2026-03-28,2026-04-12,Net 30,3071.91,552.94,Valid
INV-00362,Ironclad Security,Security,2026-01-24,2026-02-23,Net 45,1954.77,97.74,Valid
INV-00616,Apex Office Supplies,Facilities,2025-09-12,2025-10-12,Net 45,3356.3,604.13,Valid
INV-01401,Ironclad Security,Marketing,2025-04-14,2025-06-09,Net 60,986.05,49.3,Duplicate
INV-00782,Horizon Software Inc,Facilities,2025-04-09,2025-06-08,Net 45,1473.86,265.29,Valid
INV-01260,Falcon Freight Co,Consulting,2026-03-17,2026-04-01,Net 15,703.02,126.54,Valid
INV-01019,Horizon Software Inc,Facilities,2026-04-06,2026-04-21,Net 15,1207.86,60.39,Valid
INV-01134,Bluewave Logistics,Security,2025-08-27,2025-10-26,Net 45,3354.35,603.78,Valid
INV-00472,Delta Print Solutions,IT Services,2026-03-16,2026-03-31,Net 15,10.0,1.8,Valid
INV-00359,Greenfield Consulting,IT Services,2026-04-05,2026-06-04,Net 30,4781.35,573.76,Valid
INV-00874,,Security,2026-06-05,2026-06-20,Net 15,4521.66,542.6,Missing Info
INV-01369,Everline Facilities,Logistics,2025-06-28,2025-07-28,Net 45,3647.05,437.65,Valid
INV-00340,Delta Print Solutions,,2025-04-26,2025-06-10,Net 45,53.27,2.66,Missing Info
INV-00853,Junction Marketing Group,Software License,2025-11-04,2025-11-19,Net 15,2643.86,475.89,Valid
INV-00044,Junction Marketing Group,Facilities,2025-02-10,2025-02-25,Net 45,4475.59,328.82,Amount Anomaly
INV-00414,Bluewave Logistics,Software License,2025-06-21,2025-08-20,Net 45,2881.08,345.73,Valid
INV-01081,Falcon Freight Co,Security,2025-12-19,2026-01-18,Net 30,653.88,78.47,Valid
INV-00221,Delta Print Solutions,IT Services,2026-03-23,2026-05-22,Net 60,5168.15,1.8,Amount Anomaly
INV-00553,Greenfield Consulting,Software License,2026-03-25,2026-05-24,Net 60,,189.04,Missing Info
INV-00102,Bluewave Logistics,Security,2026-03-20,2026-05-04,Net 30,7251.03,573.72,Amount Anomaly
INV-00108,Ironclad Security,Software License,2025-07-15,2025-07-30,Net 60,1213.96,60.7,Valid
INV-00454,Ironclad Security,Security,2026-01-11,2026-01-26,Net 30,1599.99,288.0,Valid
INV-01481,Falcon Freight Co,Marketing,2025-07-15,2025-09-09,Net 60,269.15,13.46,Duplicate
INV-00813,,Software License,2025-05-30,2025-06-14,Net 15,3575.87,429.1,Missing Info
INV-00536,Bluewave Logistics,Office Supplies,2025-09-11,2025-10-11,Net 30,3713.17,445.58,Valid
INV-00629,Crestline IT Services,Security,2025-02-10,2025-04-11,Net 45,1150.68,57.53,Valid
INV-01037,Apex Office Supplies,Security,2025-07-18,2025-08-02,Net 60,2563.61,128.18,Valid
INV-00479,Junction Marketing Group,IT Services,2026-03-30,2026-04-29,Net 30,4540.12,145.33,Amount Anomaly
INV-01183,Everline Facilities,Marketing,2025-11-05,2025-11-20,Net 30,3338.39,166.92,Valid
INV-00129,Bluewave Logistics,Logistics,2025-08-19,2025-09-18,Net 15,3928.87,471.46,Valid
INV-00799,Bluewave Logistics,Software License,2026-03-29,2026-05-13,Net 45,4329.56,519.55,Valid
INV-00412,Ironclad Security,Software License,2025-09-06,2025-10-06,Net 30,2189.7,394.15,Valid
INV-01031,Crestline IT Services,Security,2025-04-02,2025-05-17,Net 30,1338.55,160.63,Valid
INV-00383,Everline Facilities,Consulting,2026-03-04,2026-04-18,Net 45,3136.79,156.84,Valid
INV-00666,Ironclad Security,Marketing,2026-05-07,2026-07-06,Net 60,5.0,241.46,Amount Anomaly
INV-00275,Ironclad Security,Security,2025-06-13,2025-06-28,Net 15,1771.83,88.59,Valid
INV-00923,Falcon Freight Co,Consulting,2025-08-06,2025-08-21,Net 45,782.54,140.86,Valid
INV-01233,Junction Marketing Group,IT Services,2025-02-18,2025-03-05,Net 60,2514.79,125.74,Valid
INV-00033,Falcon Freight Co,Office Supplies,2026-03-10,2026-05-09,Net 15,860.29,103.23,Valid
INV-00713,Crestline IT Services,Marketing,2026-01-10,2026-03-11,Net 30,1089.17,54.46,Valid
INV-00783,Falcon Freight Co,Office Supplies,2026-01-04,2026-02-18,Net 60,614.69,73.76,Valid
INV-01069,Delta Print Solutions,Software License,2026-04-14,2026-04-29,Net 30,1031.15,51.56,Valid
INV-01344,Apex Office Supplies,IT Services,2025-12-09,2026-01-23,Net 60,2325.79,116.29,Valid
INV-00498,Falcon Freight Co,IT Services,2025-06-11,2025-07-26,Net 30,10.0,0.5,Valid
INV-00325,Crestline IT Services,Facilities,2026-04-16,2026-05-31,Net 45,1030.08,185.41,Valid
INV-00278,Falcon Freight Co,Logistics,2026-03-31,2026-04-15,Net 45,6710.65,225.8,Amount Anomaly
INV-01248,Bluewave Logistics,Marketing,2026-03-19,2026-05-18,Net 15,3316.09,397.93,Valid
INV-01217,Ironclad Security,Consulting,2025-07-04,2025-09-02,Net 60,1827.83,91.39,Valid
INV-01281,Falcon Freight Co,Office Supplies,2025-09-23,2025-11-07,Net 15,1308.53,65.43,Valid
INV-01232,Crestline IT Services,Software License,2025-11-04,2025-12-04,Net 45,1041.01,187.38,Valid
INV-00164,Greenfield Consulting,Consulting,2025-09-14,2025-11-13,Net 60,4922.33,590.68,Valid
INV-01284,Greenfield Consulting,Facilities,2026-06-17,2026-07-17,Net 30,4325.98,216.3,Valid
INV-00262,Bluewave Logistics,IT Services,2025-12-20,2026-01-19,Net 45,6839.14,626.84,Amount Anomaly
INV-00290,Ironclad Security,Office Supplies,2025-07-06,2025-08-05,Net 15,1923.92,230.87,Valid
INV-01091,Greenfield Consulting,Facilities,2026-01-17,2026-02-01,Net 45,4398.35,527.8,Valid
INV-01133,Bluewave Logistics,Consulting,2026-01-08,2026-02-07,Net 60,4621.62,554.59,Valid
INV-01097,Junction Marketing Group,Software License,2025-05-21,2025-06-20,Net 45,2708.13,135.41,Valid
INV-00430,Falcon Freight Co,Logistics,2026-02-05,2026-04-06,Net 45,1114.26,200.57,Valid
INV-01304,Ironclad Security,Consulting,2025-07-04,2025-07-19,Net 30,1781.71,213.81,Valid
INV-01186,Greenfield Consulting,Marketing,2025-04-13,2025-05-13,Net 15,4139.23,745.06,Valid
INV-01149,Falcon Freight Co,Facilities,2026-01-25,2026-02-09,Net 45,1389.15,166.7,Valid
INV-00193,Horizon Software Inc,IT Services,2026-02-16,2026-04-17,Net 60,1435.84,258.45,Valid
INV-01074,Ironclad Security,Facilities,2025-12-10,2026-02-08,Net 45,1777.33,319.92,Valid
INV-00317,Apex Office Supplies,IT Services,2026-01-13,2026-02-27,Net 60,2243.46,403.82,Valid
INV-00590,Horizon Software Inc,Marketing,2025-12-25,2026-02-08,Net 15,1746.84,87.34,Valid
INV-00064,Ironclad Security,Marketing,2025-12-06,2025-12-21,Net 30,940.24,47.01,Valid
INV-00775,Falcon Freight Co,Consulting,2025-07-08,2025-09-06,Net 60,927.28,111.27,Valid
INV-01066,Ironclad Security,IT Services,2026-03-10,2026-04-24,Net 45,1705.87,85.29,Valid
INV-01099,Ironclad Security,Office Supplies,2026-04-20,2026-05-20,Net 30,1939.39,96.97,Valid
INV-01139,Crestline IT Services,Marketing,2026-01-27,2026-03-13,Net 15,1545.59,77.28,Valid
INV-01428,Junction Marketing Group,Office Supplies,2025-05-31,2025-07-29,Net 30,2146.46,257.58,Duplicate
INV-00523,Apex Office Supplies,Software License,2025-08-16,2025-09-15,Net 45,2955.75,147.79,Valid
INV-00986,Bluewave Logistics,Security,2025-06-28,2025-07-28,Net 45,4273.91,769.3,Valid
INV-01441,Greenfield Consulting,Facilities,2026-04-12,2026-05-08,Net 60,4483.19,537.98,Duplicate
INV-00199,Everline Facilities,Security,2026-01-19,2026-02-18,Net 15,8181.07,543.1,Amount Anomaly
INV-00276,Crestline IT Services,Facilities,2025-03-10,2025-04-09,Net 45,1098.95,197.81,Valid
INV-01466,Bluewave Logistics,Security,2026-06-08,2026-07-04,Net 30,3542.04,177.1,Duplicate
INV-00926,Delta Print Solutions,Security,2025-12-05,2026-01-19,Net 60,1377.61,247.97,Valid
INV-01157,Greenfield Consulting,IT Services,2025-07-26,2025-09-24,Net 30,4271.9,768.94,Valid
INV-00219,Greenfield Consulting,Office Supplies,2025-10-24,2025-11-08,Net 45,2165.83,573.49,Amount Anomaly
INV-01392,Junction Marketing Group,Marketing,2025-05-22,2025-07-06,Net 45,2899.95,145.0,Valid
INV-00031,Horizon Software Inc,Security,2025-08-08,2025-09-07,Net 30,1213.01,218.34,Valid
INV-00057,Falcon Freight Co,Consulting,2025-02-10,2025-03-27,Net 15,564.72,28.24,Valid
INV-01209,Horizon Software Inc,Marketing,2025-10-15,2025-11-29,Net 45,1275.9,153.11,Valid
INV-01205,Apex Office Supplies,Software License,2025-09-17,2025-11-16,Net 45,1276.32,153.16,Valid
INV-00494,Ironclad Security,Facilities,2026-06-14,2026-07-29,Net 30,1480.76,74.04,Valid
INV-00428,Junction Marketing Group,Software License,2025-02-15,2025-04-16,Net 15,4762.77,290.0,Amount Anomaly
INV-00974,Ironclad Security,Facilities,2026-03-11,2026-05-10,Net 30,1881.65,225.8,Valid
INV-00577,Junction Marketing Group,Facilities,2025-04-14,2025-05-29,Net 60,2589.3,466.07,Valid
INV-01005,Everline Facilities,IT Services,2025-09-29,2025-10-29,Net 60,3516.44,421.97,Valid
INV-00848,Everline Facilities,Consulting,2025-01-07,2025-02-21,Net 45,4274.73,213.74,Valid
INV-01435,Greenfield Consulting,Consulting,2025-06-08,2025-08-04,Net 60,4166.08,749.89,Duplicate
INV-01235,Everline Facilities,Security,2025-03-25,2025-04-09,Net 30,3402.11,170.11,Valid
INV-01378,Bluewave Logistics,Software License,2026-04-27,2026-05-12,Net 45,3864.84,193.24,Valid
INV-00755,Bluewave Logistics,Facilities,2025-04-03,2025-05-18,Net 45,4161.34,749.04,Valid
INV-00620,Crestline IT Services,Consulting,2026-02-18,2026-03-05,Net 30,2930.57,42.79,Amount Anomaly
INV-00830,Everline Facilities,Office Supplies,2025-09-27,2025-11-11,Net 60,3498.35,419.8,Valid
INV-01135,Junction Marketing Group,Security,2025-10-07,2025-12-06,Net 60,4498.65,257.1,Amount Anomaly
INV-00100,Junction Marketing Group,Software License,2025-02-12,2025-03-29,Net 45,2535.38,456.37,Valid
INV-00701,Crestline IT Services,IT Services,2025-08-15,2025-09-29,Net 30,1225.98,61.3,Valid
INV-00825,Horizon Software Inc,Facilities,2025-08-27,2025-10-11,Net 60,1306.92,235.25,Valid
INV-01146,Horizon Software Inc,Marketing,2025-06-10,2025-06-25,Net 60,1841.43,220.97,Valid
INV-01423,Falcon Freight Co,Software License,2026-02-28,2026-04-27,Net 15,62.93,7.55,Duplicate
INV-00927,Apex Office Supplies,Security,2025-05-20,2025-07-19,Net 45,2683.16,134.16,Valid
INV-00945,Bluewave Logistics,Security,2025-11-15,2025-12-30,Net 15,4127.59,742.97,Valid
INV-01027,Delta Print Solutions,IT Services,2025-02-16,2025-03-18,Net 15,1523.27,182.79,Valid
INV-00840,Bluewave Logistics,Consulting,2025-08-10,2025-08-25,Net 60,3497.72,174.89,Valid
INV-00837,Falcon Freight Co,Consulting,2025-08-15,2025-08-30,Net 60,96.15,4.81,Valid
INV-01171,Everline Facilities,Office Supplies,2025-10-12,,Net 60,2619.8,471.56,Missing Info
INV-00527,Horizon Software Inc,Software License,2025-01-31,2025-04-01,Net 30,5.0,259.06,Amount Anomaly
INV-01461,Everline Facilities,Consulting,2025-05-29,2025-07-09,Net 30,3471.7,624.91,Duplicate
INV-01115,Delta Print Solutions,Logistics,2025-11-11,2025-12-11,Net 15,988.36,49.42,Valid
INV-00963,Crestline IT Services,Security,2026-04-09,2026-05-24,Net 30,870.74,104.49,Valid
INV-00967,Ironclad Security,Office Supplies,2026-01-03,2026-01-18,Net 30,1417.19,170.06,Valid
INV-01164,Horizon Software Inc,Office Supplies,2025-10-02,2025-12-01,Net 30,1066.17,191.91,Valid
INV-00937,Ironclad Security,Office Supplies,2025-05-16,2025-06-15,Net 60,5032.08,231.16,Amount Anomaly
INV-00237,Everline Facilities,IT Services,2026-02-06,2026-03-08,Net 45,4469.08,804.43,Valid
INV-01384,Bluewave Logistics,Facilities,2025-10-30,2025-12-29,Net 30,3453.0,621.54,Valid
INV-01169,Everline Facilities,Software License,2026-04-21,2026-06-20,Net 60,2615.54,470.8,Valid
